date,title,grants,awarded,budgets allocated,federal matching,provider counts,enrollment snapshots,waiver approvals,managed contracts,reimbursement rates
2026-02-05,"Important Update About Medicaid and PeachCare for Kids® Coverage for Impacted MembersFebruary 05, 2026",,,,,,"81, one, 2, 3, 800-610-1863, 19, 24/7, 6, One, 233.2, 42, 18, 9, 13, 22, 7/31, 7/8, 21, 8/1, more than 660,000, 17, 20, 96, 5, 10, 1, 59, 79, 49, 109, 11 View, 7, 800-610-1863 1, 4, 8, 12, 14, 102, 10/2014, 72, 83, 51, 107, 111, 47, Two, 12/6/2013, 70, 11, more than ONE, 41, 190.69, 64, 15",,,
2026-01-12,"Value-Based Care Model Information SessionJanuary 12, 2026",,,,,,"1, 4",404,,
2025-12-31,"Rural Health Transformation Program First Year AwardDecember 31, 2025",,$218.8 million,,,,,,,
2025-10-20,"Notice of Intent to Award: Pharmacy Benefit Services ProcurementOctober 20, 2025",,,,,,,,,
2025-10-01,"Medicaid Members Offered Free Credit Monitoring After Possible Data BreachOctober 01, 2025",,,,,,,,,
2025-10-01,"Important Program Updates: Changes to Georgia Pathways to Coverage™ Effective October 1, 2025October 01, 2025",,,,,,,,,
2025-09-29,"Copayments required for Pathways members effective October 1, 2025.September 29, 2025",,,,,,,,,
2025-09-19,"Public Input for Rural Health Transformation Program Are PostedSeptember 19, 2025",,,,,,,,,
2025-08-15,"Georgia Department of Community Health’s Lynnette Rhodes Named 2025 “Women of Influence” Honoree by Atlanta Business ChronicleAugust 15, 2025",,,,,,,,,
2025-08-11,"DCH Now Accepting Public Input for the Rural Health Transformation ProgramAugust 11, 2025",,,,,,,,,
2025-08-05,"Invitation for Proposals Released on August 4, 2025 for State Health Benefit Plan Pharmacy Benefit Manager ProcurementAugust 05, 2025",,,,,,,,,
2025-07-30,"Notice of Upcoming Invitation for Proposals Opportunity for State Health Benefit Plan Pharmacy Benefit ManagerJuly 30, 2025",,,,,,,,,
2025-07-09,"Gov. Kemp Names Dr. Dean Burke as Incoming DCH CommissionerJuly 09, 2025",,,,,,,,,
2025-07-03,"D-SNP (Dual Eligible Special Needs Plans) ProvidersJuly 03, 2025",,,,,2025,"24.4.48, 422.514(h, 012025",,"24.4.48, 0x010100E951CD06057B374A9C1297265B4636AC",
2025-05-16,"DCH Appoints Emily Yona as Chief of StaffMay 16, 2025",,,,,,,,,
2025-04-28,"Public Notice of Solicitation: Innovative Readiness Training ProgramApril 28, 2025",,,,,,,,,
2025-04-16,"Program for All-Inclusive Care for the Elderly – PACE Request for Proposals Open NowApril 16, 2025",,,,,,,,,
2025-04-03,"Georgia Medicaid Member Residency VerificationApril 03, 2025",,,,,,,,,
2025-02-24,"DCH hosting Genetic Testing PA Submission TrainingFebruary 24, 2025",,,,,230,,,,
2025-01-21,"Georgia Pathways to Coverage 1115 Demonstration Waiver Extension NoticeJanuary 21, 2025",,,,,,,"98165 %%, #1 Georgia Pathways to",,
2025-01-09,"Extension of Public Health Emergency Due to Hurricane HeleneJanuary 09, 2025",,,,,,,,,
2024-12-02,"Georgia Families & Georgia Families 360º  Care Management Organization (CMO) Contract Notice of Intent to Award (NOIA) AnnouncementDecember 02, 2024",,,,,,,,,
2024-10-16,"Emergency Prescription Assistance Program Activated for Uninsured Georgians Needing Medicine Following Hurricane HeleneOctober 16, 2024",,,,,,,,,
2024-10-11,"DCH Thanks Norman Boyd for His Dedicated Service as Chairman of the Board of Community HealthOctober 11, 2024",,,,,,,,,
2024-09-10,"New Care Access Station Now Available for State EmployeesSeptember 10, 2024",,,,,,,,,
2024-08-13,"PeachCare for Kids® Co-Payments and Premiums Resume Oct. 1, 2024August 13, 2024",,,,,,,,,
2024-07-24,"DCH Accepting Directed Payment Program Ideas for SFY2026July 24, 2024",,,,,,,,,
2024-07-11,"DBHDD, DCH Announce Approval of Historic Medicaid Provider Rate IncreasesJuly 11, 2024",,,,,,,,,
2024-06-28,"HFRD Releases Notices for Compliance With “No Patient Left Alone” ActJune 28, 2024",,,,,,,,,
2024-03-08,"Medicaid Redeterminations Event in Union CityMarch 08, 2024",,,,,,,,,
2024-03-06,"Anthem's SHBP Call Center Receives J.D. Power CertificationMarch 06, 2024",,,,,,,,,
2024-02-16,"The Healthcare Facility Regulation Division Invites You to Attend its Career Fair on March 7, 2024February 16, 2024",,,,,,,,,
2024-02-12,"Invitation for Proposals for DCH Medicare Advantage ProcurementFebruary 12, 2024",,,,,,,,,
2024-02-08,"Georgia Selected to Participate in Behavioral Health Policy LabFebruary 08, 2024",,,,,,,,,
